Customer ID,Last Purchase Date,Total Purchase,Total Amount,Recency(Days since last purchase),R Score,F Score,M Score,RFM Score,Segments
CUST1230,2025-11-28,1,$730.40,230,5,1,4,514,Champions
CUST1233,2025-07-31,1,$152.40,350,3,1,2,312,Active Customers
CUST1236,2025-07-16,1,$288.44,365,3,1,3,313,Active Customers
CUST1238,2025-06-18,1,"$1,598.40",393,3,1,5,315,Active Customers
CUST1249,2025-06-06,1,$119.65,405,2,1,2,212,At Risk
CUST1252,2025-10-15,1,$906.52,274,4,1,5,415,Active Customers
CUST1255,2025-03-04,1,$38.92,499,1,1,1,111,Lost Customers
CUST1256,2025-01-14,1,$275.40,548,1,1,3,113,Lost Customers
CUST1270,2025-10-02,2,$474.97,287,4,3,4,434,Loyal Customers
CUST1278,2025-09-14,1,$136.95,305,4,1,2,412,Active Customers
CUST1284,2025-04-03,2,"$1,172.27",469,1,3,5,135,Lost Customers
CUST1292,2025-08-05,1,$32.94,345,3,1,1,311,Active Customers
CUST1293,2025-04-18,1,$480.00,454,2,1,4,214,At Risk
CUST1294,2025-08-13,1,$54.24,337,3,1,1,311,Active Customers
CUST1306,2025-12-06,2,$624.80,222,5,3,4,534,Champions
CUST1319,2025-10-22,1,$314.58,267,4,1,3,413,Active Customers
CUST1328,2025-12-10,1,$392.37,218,5,1,3,513,Champions
CUST1344,2025-02-22,1,$198.87,509,1,1,2,112,Lost Customers
CUST1346,2025-01-11,1,$55.02,551,1,1,1,111,Lost Customers
CUST1347,2025-04-24,2,$142.61,448,2,3,2,232,At Risk
CUST1360,2025-12-26,1,$53.13,202,5,1,1,511,Champions
CUST1370,2025-11-15,1,$38.27,243,5,1,1,511,Champions
CUST1379,2025-04-22,1,$55.58,450,2,1,1,211,At Risk
CUST1388,2025-12-13,2,$892.65,215,5,3,5,535,Champions
CUST1391,2025-09-15,1,$232.44,304,4,1,3,413,Active Customers
CUST1392,2025-04-08,1,"$1,044.99",464,2,1,5,215,At Risk
CUST1403,2025-10-31,1,$586.16,258,5,1,4,514,Champions
CUST1410,2025-10-09,1,"$1,719.15",280,4,1,5,415,Active Customers
CUST1413,2025-09-21,1,"$4,031.55",298,4,1,5,415,Active Customers
CUST1418,2025-06-17,1,$430.45,394,3,1,4,314,Active Customers
CUST1424,2025-05-20,1,$69.17,422,2,1,1,211,At Risk
CUST1425,2025-02-01,1,$303.20,530,1,1,3,113,Lost Customers
CUST1431,2025-05-10,1,$470.94,432,2,1,4,214,At Risk
CUST1433,2025-09-18,1,$17.19,301,4,1,1,411,Active Customers
CUST1439,2025-10-15,2,"$9,008.52",274,4,3,5,435,Loyal Customers
CUST1440,2025-02-20,1,$780.78,511,1,1,5,115,Lost Customers
CUST1441,2025-07-01,1,$324.24,380,3,1,3,313,Active Customers
CUST1450,2025-02-09,1,$234.00,522,1,1,3,113,Lost Customers
CUST1454,2025-02-07,1,$116.98,524,1,1,2,112,Lost Customers
CUST1460,2025-05-13,1,$229.17,429,2,1,3,213,At Risk
CUST1473,2025-05-08,1,$374.10,434,2,1,3,213,At Risk
CUST1475,2025-10-16,1,$207.55,273,4,1,3,413,Active Customers
CUST1487,2025-11-27,1,$27.99,231,5,1,1,511,Champions
CUST1497,2025-04-09,1,$180.00,463,2,1,2,212,At Risk
CUST1510,2025-05-30,1,$521.96,412,2,1,4,214,At Risk
CUST1513,2025-03-19,1,"$1,704.30",484,1,1,5,115,Lost Customers
CUST1519,2025-10-04,1,"$4,056.10",285,4,1,5,415,Active Customers
CUST1520,2025-02-11,1,$46.04,520,1,1,1,111,Lost Customers
CUST1546,2025-05-06,1,$586.98,436,2,1,4,214,At Risk
CUST1551,2025-09-05,1,$91.50,314,4,1,2,412,Active Customers
CUST1564,2025-01-08,1,$18.44,554,1,1,1,111,Lost Customers
CUST1574,2025-01-05,1,$150.96,557,1,1,2,112,Lost Customers
CUST1575,2025-10-15,1,$127.20,274,4,1,2,412,Active Customers
CUST1578,2025-09-25,1,$84.78,294,4,1,1,411,Active Customers
CUST1579,2025-01-22,1,$157.86,540,1,1,2,112,Lost Customers
CUST1583,2025-11-09,1,$182.72,249,5,1,2,512,Champions
CUST1589,2025-07-14,1,$7.02,367,3,1,1,311,Active Customers
CUST1590,2025-11-19,1,"$1,122.45",239,5,1,5,515,Champions
CUST1596,2025-10-10,1,$183.32,279,4,1,2,412,Active Customers
CUST1599,2025-10-08,1,$101.20,281,4,1,2,412,Active Customers
CUST1606,2025-05-18,1,$39.07,424,2,1,1,211,At Risk
CUST1609,2025-10-19,1,$549.40,270,4,1,4,414,Active Customers
CUST1616,2025-01-14,1,$395.16,548,1,1,4,114,Lost Customers
CUST1620,2025-11-07,1,$240.00,251,5,1,3,513,Champions
CUST1621,2025-08-05,1,$503.76,345,3,1,4,314,Active Customers
CUST1624,2025-04-24,1,$403.12,448,2,1,4,214,At Risk
CUST1632,2025-02-05,1,$175.95,526,1,1,2,112,Lost Customers
CUST1633,2025-07-05,1,$64.89,376,3,1,1,311,Active Customers
CUST1642,2025-06-11,2,"$1,075.80",400,2,3,5,235,At Risk
CUST1644,2025-10-22,1,$264.24,267,4,1,3,413,Active Customers
CUST1648,2025-11-14,1,$17.48,244,5,1,1,511,Champions
CUST1653,2025-09-09,2,"$1,088.50",310,4,3,5,435,Loyal Customers
CUST1654,2025-02-27,1,"$1,805.56",504,1,1,5,115,Lost Customers
CUST1656,2025-09-04,1,$27.18,315,4,1,1,411,Active Customers
CUST1662,2025-06-21,1,$297.55,390,3,1,3,313,Active Customers
CUST1671,2025-12-24,1,$134.64,204,5,1,2,512,Champions
CUST1674,2025-07-22,1,$74.10,359,3,1,1,311,Active Customers
CUST1676,2025-02-11,1,$555.75,520,1,1,4,114,Lost Customers
CUST1681,2025-05-11,1,$258.84,431,2,1,3,213,At Risk
CUST1684,2025-12-14,2,$768.04,214,5,3,4,534,Champions
CUST1687,2025-11-29,1,$112.60,229,5,1,2,512,Champions
CUST1688,2025-05-18,1,"$1,855.16",424,2,1,5,215,At Risk
CUST1691,2025-04-20,1,$288.24,452,2,1,3,213,At Risk
CUST1694,2025-10-31,1,$97.68,258,5,1,2,512,Champions
CUST1696,2025-08-05,1,$334.70,345,3,1,3,313,Active Customers
CUST1704,2025-01-03,1,$240.18,559,1,1,3,113,Lost Customers
CUST1705,2025-11-01,1,$37.78,257,5,1,1,511,Champions
CUST1714,2025-05-03,1,$136.64,439,2,1,2,212,At Risk
CUST1719,2025-06-08,1,$38.08,403,2,1,1,211,At Risk
CUST1740,2025-10-20,1,$64.36,269,4,1,1,411,Active Customers
CUST1744,2025-03-21,1,$325.40,482,1,1,3,113,Lost Customers
CUST1746,2025-06-10,1,$379.50,401,2,1,3,213,At Risk
CUST1747,2025-08-24,1,$585.48,326,4,1,4,414,Active Customers
CUST1754,2025-06-20,1,$587.10,391,3,1,4,314,Active Customers
CUST1758,2025-10-07,1,$94.72,282,4,1,2,412,Active Customers
CUST1772,2025-11-13,1,"$2,475.18",245,5,1,5,515,Champions
CUST1773,2025-12-04,1,"$1,552.38",224,5,1,5,515,Champions
CUST1778,2025-11-21,2,"$1,038.10",237,5,3,5,535,Champions
CUST1782,2025-08-02,1,$283.72,348,3,1,3,313,Active Customers
CUST1808,2025-05-02,1,$16.89,440,2,1,1,211,At Risk
CUST1810,2025-06-18,2,"$1,921.44",393,3,3,5,335,Active Customers
CUST1811,2025-04-03,1,$432.65,469,1,1,4,114,Lost Customers
CUST1814,2025-04-27,1,$14.02,445,2,1,1,211,At Risk
CUST1816,2025-05-13,1,$80.95,429,2,1,1,211,At Risk
CUST1828,2025-08-29,1,$181.35,321,4,1,2,412,Active Customers
CUST1840,2025-01-02,1,"$1,102.75",560,1,1,5,115,Lost Customers
CUST1851,2025-06-07,1,$49.60,404,2,1,1,211,At Risk
CUST1852,2025-05-27,1,$169.80,415,2,1,2,212,At Risk
CUST1855,2025-08-03,1,$139.50,347,3,1,2,312,Active Customers
CUST1856,2025-01-08,1,$280.12,554,1,1,3,113,Lost Customers
CUST1863,2025-01-29,1,$224.55,533,1,1,3,113,Lost Customers
CUST1872,2025-12-03,1,$733.40,225,5,1,4,514,Champions
CUST1880,2025-12-13,1,$581.65,215,5,1,4,514,Champions
CUST1881,2025-01-06,1,$535.15,556,1,1,4,114,Lost Customers
CUST1885,2025-07-25,1,$239.33,356,3,1,3,313,Active Customers
CUST1895,2025-07-28,1,$743.58,353,3,1,4,314,Active Customers
CUST1911,2025-10-19,1,$54.21,270,4,1,1,411,Active Customers
CUST1920,2025-08-27,1,$413.02,323,4,1,4,414,Active Customers
CUST1923,2025-11-27,1,$22.26,231,5,1,1,511,Champions
CUST1927,2025-06-28,1,$204.60,383,3,1,3,313,Active Customers
CUST1934,2025-10-26,2,"$1,919.78",263,5,3,5,535,Champions
CUST1935,2025-07-15,1,$712.20,366,3,1,4,314,Active Customers
CUST1939,2025-05-25,1,$161.34,417,2,1,2,212,At Risk
CUST1965,2025-10-18,1,$54.04,271,4,1,1,411,Active Customers
CUST1970,2025-04-08,1,$190.32,464,2,1,2,212,At Risk
CUST1971,2025-12-07,1,$179.58,221,5,1,2,512,Champions
CUST1972,2025-08-15,1,$505.10,335,3,1,4,314,Active Customers
CUST1988,2025-10-30,1,$159.16,259,5,1,2,512,Champions
CUST1990,2025-06-01,2,$271.32,410,2,3,3,233,At Risk
CUST1992,2025-08-16,1,$912.76,334,3,1,5,315,Active Customers
